GLOB SHIP ID,GZM SHIP IDS,BGB SHIPVOYAGES
2257,,158
2258,,624
2259,,10387
2260,,1309;1346
2261,3571,4473;4591;12362
2262,,1443;2369;5303
2263,,4119;6228;8276;8313
2264,,159;1671
2265,,452;636
2266,,2961;2977
2267,,260;633;1126;20054
2268,,5236;5238;9325
2269,4764;4928,1988;1991;2094;2125;2357;2606;2790;2791;3000;3034;3320;3413;3531;3873;3978;4073;4261;4474;4601;4766;4768;4772;4773;4873;4881;5411;5413;5754;5834;5839;5841;5936;9032;9033
2270,,6855;6858;8275;8311
2271,,7287
2272,,1061
2273,3573,
2274,,1348
2275,,7846;10917;11398;12289;13149
2276,,16388
2277,423;495;573;699;829;911;1023;1135;1356;1440;1549;1644;1749,
2278,5057,
2279,1049,
2280,371,
2281,4173,
2282,,7608;7609;7805;8497;8603;10891;11391;11685;12270;12588;12771
2283,1447;1550;1647;1752;1850;1976;2075;2148;2274;2401,
2284,2793;2898,
2285,,1039
2286,,9939;9957;10477;10502;12001;13902;13936;13981;14127;14238;14261;14349;14428;14591;14652;14683;14860;14872;14969;15043;16056;16120;16142;16166;16230;16231;16263;16360;16395;16403;16444;16466;16479;16559;16775;16840;16852;17191;17308;17331;17742;17905;17917;18095
2287,,18879
2288,,20087
2289,,18467
2290,359;491;579;739;842;1153,10528;10531;14787;14791;15792;15808;15810;15967;15972
2291,607;650;727;1064;1792-3;2213-2,
2292,3939;3994;4046;4073;4131,
2293,,18528
2294,,13291;18887
2295,,2372
2296,,1926
2297,1548;1700;1767;1856;1991;2063;2159;2266;2367;2484,
2298,,6725;6726
2299,2261;2364;2481,
2300,,19215
2301,2485,
2302,,1243
2303,,18104
2304,322,
2305,4183,6431;11353;11445
2306,396,
2307,4931;4964;5185;5285,139;174;257;439;454;478;549;638;673;878;889;922;1070;1184;1539;20052
2308,352;505-2;569;708;718;815;936;1022;1167;1315,
2309,1363;1446;1552;1645;1750,
2310,,12782;13701;13806;15256;18542;18555;19942;19967
2311,1456;1564;1635,15578
2312,,15796;17107;18873
2313,492;580;741;844;927;1007;1177;1286;1465;1593;1682;1772;1800;1871;1880;1982;2079;2094;2164;2179;2269;2309;2354;2409,
2314,,13958;13963
2315,,18676
2316,,3181;6178
2317,,968;969
2318,342;420;497;575;700,
2319,,8359;9594;10590;10687
2320,4375;4473;4501,
2321,616,
2322,358;490;578;738;841;1041;1151;1299;1378;1474;1588;1692,
2323,302;798;853;910;929;1010;1127;1273;1361;1449;1475;1557;1651;1754;1844;1970;2068;2151;2279;2400,
2324,3216,12501;12502;12503;13212
2325,3169;3240,
2326,,3172
2327,,2384
2328,,2574
2329,331;524;851;930;1008;1181;1289,
2330,,8712
2331,,1043
2332,,20216
2333,,242
2334,1087,
2335,3576,7844;11708;12400;14078;15066
2336,,11644
2337,1306;1381;1494;1570;1663;1785;2108;2474;2958,15088;15191;16208;16387;16799;17434;17437;17439;17441;17492;17806;18005;18006;19465;19958
2338,2021;2127;2306;2405,
2339,,3845;3851;6075;6077;6079;7030
2340,,431
2341,1738;1940;2260;2338;2458;3170;3316,
2342,,145;266;5158
2343,304,
2344,629;630;849;926;1006;1180;1288;1466;1592;1679;1768;1873;1983;2080;2178;2310;2414,14903;18145;18148
2345,,4788
2346,332;526;614;656;658;731-3;732;850;931;1009;1070;1178;1305;1380;1493,
2347,551,
2348,,514
2349,,18902
2350,,13276;18933
2351,,11753
2352,1390,
2353,4496,5502;20229
2354,1154,
2355,,1042
2356,,1077
2357,,900;903;905;1075;1087
2358,,4403;4478;4496;4750;4782;5366;5496;5560;5829;7175;7406
2359,,8786;8789;9887;11959;15710;16202;16694;16705;16707;17797;19576
2360,3279;3365;3484;3526;3584;3695;3864;3875;3940;3983;4105,
2361,1879;2095;2163;2268;2351,16962;16965;18629
2362,,11645
2363,,2204
2364,,2356
2365,,8904
2366,5060,
2367,,1953;2110;4887;5159;5162
2368,755,
2369,928;1011,
2370,,450;451;634
2371,1394;1460,16352
2372,,14084;14696;15540;15953;16317;16328;16920;17271
2373,1833,
2374,610;653;731-1;1067;1792-4;2289-3;2390-4;2469-4,
2375,,8633;10821;19463
2376,,834;1032;1033
2377,,9875;9884;10456;14628;14631;15080;15135;15137;15138;15141;15206;15208;15491;16770;17426;17430;17485;17794;17953;17954;17955;17957;17958;17994;17998;18001;19115;19161;19448;19573
2378,,16446
2379,,5950
2380,,13501
2381,4638,
2382,3083;3129;3189;3221;3280;3366;3528;3594;3869;3913,
2383,,10522;10628
2384,,8944
2385,1468;1596;1680;1874;1986;2082;2181;2315;2413,
2386,,11677
2387,,1938
2388,4171,
2389,3794;4338,4767;5125;7434;8855;11388;11752
2390,341,
2391,2745;3719,
2392,3696,
2393,3929,
2394,,13093
2395,303;528;600;820;998;1171;1249;1395;1471;1597;1657;1761,
2396,,606;686;690;692;1128;1130;1257;1995;2466;2471;2703;2844;3062;3121;3127;3175;3345;5111;9079;9087;9365;9395;9397;20199
2397,,6400
2398,5056,
2399,,13282;18099;18100
2400,4291;4376;4442;4558;4622;4700;4767;4794,
2401,82,
2402,4498,
2403,4470,4432;4480;4779;6619;6763;7232
2404,,2867
2405,3789,12540
2406,3598,
2407,3269,
2408,,11298
2409,4337,
2410,,3317
2411,3923;4167;4244;4290;4336;4369;4410;4441;4467,8017;8447
2412,624;660;716;1072;1197;1295;1385;1498;1574;1669;1790;2003;2101;2211;2293;2394;2472,
2413,,9188;9189;9800;9832;9926;10203;10820;10852
2414,743;840;1152;1523,
2415,,720;4868
2416,,3135
2417,,8501
2418,,10368
2419,1157,
2420,,784
2421,,9921;9937;10450;12070;13622;14021;14340;14537;14550;14552;14747;14995;15005;15013;16215;16216;16217;16371;16515;16538;16590;16591;16670;16974;17014;17079;17099;17100;17391;17419
2422,,7437
2423,,440;701
2424,,18028
2425,,10929;11132;13294
2426,1678;1770;1870;1981;2077;2176;2308,
2427,,18496
2428,1637;1737,
2429,4414;4468,
2430,,2149
2431,,11546
2432,,1395;2024
2433,2956;3006,8730;10900;11365;11494;11533;13234;13239;13474;13475;13630;13643;13700;13702;17830;18534;18540;18937;19708;19841
2434,,1948;1949;8981
2435,,3023;3300;3529;6517;9284
2436,3217,11499;12168;12777;17852
2437,,12611;13141;13157;13222;13253;13361;19693;19856
2438,3728;3795;3812,7367;7834;8405;10303;11386;11747;11757;11774
2439,,7639;7823
2440,2536;2598,20268
2441,,1232;1238
2442,1572,
2443,,7643;11387;11430;15841;18754
2444,592;800;896;960,
2445,553;806;921;1005;1176;1290,10536;11717;12009;12010;14240;14923;14961;16846;16848
2446,,7603;7614;7800;7813;10894;12546;13421
2447,1959;2088;2168;2300;2363,
2448,1598,
2449,4612;4677;4719;4765;4791;5074;5156;5186;5324,
2450,,4112;7268;7269;7271
2451,1071,
2452,2126,
2453,,1165
2454,4011,9588
2455,,9134;15667;16132;16685;16932;17784;18185
2456,1667;1788;2208;2291;2390-1;2469-1,
2457,324;397,
2458,,4087
2459,,12514;12516;13214
2460,1360;1443;1554;1654;1759;1847;1974;2076;2153;2273;2402,
2461,499,
2462,,18696
2463,,20230
2464,,18938
2465,,18935
2466,,20194
2467,,5786
2468,,1316
2469,,1306;20246
2470,799;885;1146;1268,
2471,2621;2959;3020;3068;3531;3596,
2472,4417,4443
2473,,531
2474,,319;320;738;2234;2370;3132;4857;4866;5520;6064;6976;6978;8606;8947;9478;9815;10732;11256
2475,,1692
2476,,6071
2477,,19283
2478,,402
